Company Name,Position,Skills Required,Experience,Others ,Work Type,Company Overview
Tiger IT Bangladesh Ltd.,QA Engineer,"JIRA, TestRail, Bugzilla, MantisBT",3,,Onsite,"Qualified teammates, good learning opportunities, health insurance"
Tiger IT Bangladesh Ltd.,QA Engineer,"postman, Apache JMeter, SQL",3,,Onsite,"Bad management, delays in salary reviews, and arrears reimbursement"
Tiger IT Bangladesh Ltd.,QA Engineer,"JIRA, SQL, MantisBT",2,,Onsite,I have found this company give me lots of technical challenges
Tiger IT Bangladesh Ltd.,QA Engineer,"SQL,Selenium, TestNG, JMeter",1,,Onsite,Management if not focus on Business
Tiger IT Bangladesh Ltd.,QA Engineer,"GitLab CI, CircleCI, Git",3,,Onsite,"Very poor business management. The team is not eager to develop mid-level projects; they only look for the high ones, which is why the company suffers."
Tiger IT Bangladesh Ltd.,QA Engineer,"Bitbucket, BrowserStack, LambdaTest",4,,Onsite,"Top Salary, without any doubt."
Tiger IT Bangladesh Ltd.,System Analyst / Business Analyst,"BRD, FRS, Use Case Development, Gap Analysis",2,,Onsite,Less facility and encouragement on work. They didn't have to encourage the employees by any festivals/occasions/any encouragement by giving a simple gift
Tiger IT Bangladesh Ltd.,System Analyst / Business Analyst,"SQL, API Understanding, Data Modeling, System Architecture, Basic Programming",3,,Onsite,Very well-structured hiring process
Tiger IT Bangladesh Ltd.,System Analyst / Business Analyst,"Excel (Advanced), Power BI, Tableau, Data Interpretation, KPI Development",4,,Onsite,Great coworkers
Tiger IT Bangladesh Ltd.,System Analyst / Business Analyst,"Technical Writing, Report Generation, Traceability Matrix, Meeting Minutes, User Manuals",3,,Onsite,Fully subsidized Breakfast and lunch
Tiger IT Bangladesh Ltd.,System Analyst / Business Analyst,"Problem-Solving, Decision Making, Logical Reasoning, Root Cause Analysis, SWOT Analysis",2,,Onsite,Employee cut
Tiger IT Bangladesh Ltd.,System Analyst / Business Analyst,"Task Prioritization, Deadline Management, Resource Allocation, Scheduling, Multitasking",3,,Onsite,Talented and dedicated colleagues who are passionate about their work
Tiger IT Bangladesh Ltd.,System Analyst / Business Analyst,"Data Privacy Awareness, Risk Assessment, Compliance Standards, Security Protocols",4,,Onsite,Opportunity to work on diverse and challenging projects.
Tiger IT Bangladesh Ltd.,System Analyst / Business Analyst,"IT Trends, Domain Knowledge, Market Analysis, Competitive Analysis, Regulatory Awareness",3,,Onsite,Flexible working hours and potential for remote work.
Tiger IT Bangladesh Ltd.,System Analyst / Business Analyst,"Resource Allocation, Scheduling, Multitasking,Tableau",2,,Onsite,Leadership lacks vision and fails to respect and value employees' ideas.
Tiger IT Bangladesh Ltd.,System Analyst / Business Analyst,"Problem-Solving, Decision Making, Logical Reasoning, Root Cause Analysis",4,,Onsite,Uncertainty and instability due to poor strategic planning and execution.
Tiger IT Bangladesh Ltd.,DevOps / System Administrator,"CI/CD Pipelines, Jenkins, GitLab CI/CD, GitHub Actions, Build Automation",2,,Onsite,Opportunity to work with cutting-edge tools and technologies in an open work
Tiger IT Bangladesh Ltd.,DevOps / System Administrator,"Linux/Unix Administration, Shell Scripting, System Monitoring, File System Management, User Permissions",3,,Onsite,Government-approved provident fund
Tiger IT Bangladesh Ltd.,DevOps / System Administrator,"Cloud Platforms, AWS, Azure, Google Cloud Platform (GCP)",2,,Onsite,"Fully subsidized lunch, tea, coffee at the office"
Tiger IT Bangladesh Ltd.,DevOps / System Administrator,"Docker, Kubernetes, Containerization, Helm Charts, Microservices Deployment",3,,Onsite,Management is not that good
Tiger IT Bangladesh Ltd.,DevOps / System Administrator,"Networking Fundamentals, TCP/IP, DNS, DHCP, VPN Configuration",2,,Onsite,Has flexibility to work from home sometimes
Tiger IT Bangladesh Ltd.,DevOps / System Administrator,"Monitoring Tools, Nagios, Zabbix, Prometheus, Grafana, Log Management",3,,Onsite,"For the past two years, the employer didn't do the yearly reviews, even though they said they would fix it at one point but didn't."
Tiger IT Bangladesh Ltd.,DevOps / System Administrator,"Security Practices, Firewalls, SSL/TLS Configuration, Vulnerability Scanning, User Access Control",1,,Onsite,Nice and lovely environment to work.
Tiger IT Bangladesh Ltd.,DevOps / System Administrator,"Version Control, Git, GitHub, Bitbucket, Branch Management",4,,Onsite,Yearly review system is very poor
Tiger IT Bangladesh Ltd.,DevOps / System Administrator,"Backup & Recovery, Disaster Recovery Planning, Rsync, Snapshot Management, Data Replication",3,,Onsite,"Sometimes, the work environment can be stressful, especially before software release."
Tiger IT Bangladesh Ltd.,DevOps / System Administrator,"Terraform, Ansible, CloudFormation, Configuration Management",2,,Onsite,bunch of extraordinary and talented colleagues work-life balance
Tiger IT Bangladesh Ltd.,IT Engineer,"Understanding of network protocols such as TCP/IP, UDP, ICMP, and SNMP",0,,Onsite,"no increment, less learning scope"
Tiger IT Bangladesh Ltd.,IT Engineer,"DNS, DHCP, and NAT",1,,Onsite,Company's employee are awesome
Tiger IT Bangladesh Ltd.,IT Engineer,"Network Configuration, IP Addressing, Routing & Switching, DNS Management, DHCP Setup",2,,Onsite,Don't join If you hove good opportunity
Tiger IT Bangladesh Ltd.,IT Engineer,"Peripheral Configuration, BIOS Settings, Device Drivers, Component Troubleshooting",1,,Onsite,"Work environments, awesome colleagues, relation amongs colleagues"
Tiger IT Bangladesh Ltd.,IT Engineer,"SCCM, Application Installation, Licensing Management, Remote Software Support",0,,Onsite,"Management has some issues, Dev team does not have any process to follow"
Tiger IT Bangladesh Ltd.,IT Engineer,"Firewall Configuration, Antivirus Solutions, Endpoint Security, Threat Detection, Network Isolation",1,,Onsite,No such mentionable cons here.
Tiger IT Bangladesh Ltd.,IT Engineer,"LAN/WAN Management, Cable Management, Network Monitoring, Bandwidth Allocation, VPN Setup",2,,Onsite,No pros I have seen so far.
Tiger IT Bangladesh Ltd.,IT Engineer,"Software Deployment, SCCM, Application Installation, Licensing Management",1,,Onsite,Large user base versatile tech usages flexible
Tiger IT Bangladesh Ltd.,IT Engineer,"IP Addressing, Routing & Switching, DNS Management, DHCP Setup",0,,Onsite,Slow increment. Everything else is good.
DataSoft,Software Developer,"REST APIs, CSS",1,,Onsite,Poor management and retention issues frustrate.
DataSoft,Software Developer,"Python, Django, REST APIs, Git, SQL",0,3-month notice period; focus on self-learning; basic technical interview,Onsite,Friendly team and flexible hours praised by employees. Poor management and limited growth frustrate many.
DataSoft,Software Developer,"C#, .NET, JavaScript, HTML, CSS",1,Limited salary growth; scenario-based coding tests in interviews,Onsite,Supportive coworkers valued in reviews. Nepotism and centralized decisions upset employees.
DataSoft,Software Developer,"Java, Spring Boot, MySQL, Data Structures",2,Must adapt to outdated tech; long working hours occasionally,Onsite,Learning opportunities noted by staff. High turnover and weak guidance disappoint.
DataSoft,Software Developer,"PHP, Laravel, JavaScript, jQuery, DBMS",3,Technical interviews with DS/Algo focus; low initial pay,Onsite,Team spirit appreciated by employees. Favoritism and management issues hinder satisfaction.
DataSoft,Software Developer,"Python, Flask, PostgreSQL, API integration",2,Probation period with strict evaluation; limited mentorship,Onsite,Flexible hours praised in reviews. Poor leadership and outdated tech upset staff.
DataSoft,Software Developer,"Node.js, Express, MongoDB, Git, Agile",2,Team projects with tight deadlines,Onsite,Collaborative peers valued by employees. Low pay and bureaucracy spark discontent.
DataSoft,Software Developer,"C++, Algorithms, Data Structures, SQLite",1,High turnover impacts team morale; basic coding tests in interviews,Onsite,Supportive culture noted by reviewers. Mismanagement and bullying raise concerns.
DataSoft,Software Developer,"Angular, TypeScript, REST APIs, CSS",2,Requires multitasking; interviews test front-end and back-end skills,Onsite,Tech focus appreciated by staff. Stagnant growth and turnover discourage many.
DataSoft,Software Developer,"Ruby on Rails, PostgreSQL, JavaScript, TDD",3,Limited remote work options; must handle client-driven changes,Onsite,Lack of transparency and favoritism upset staff.
DataSoft,Software Developer,"Go, Docker, Kubernetes, Microservices, SQL",3,Interviews include system design and scalability questions; fast-paced,Onsite,Modern tech adoption valued by reviewers. 
DataSoft,Web Developer,"HTML, CSS, JavaScript, Joomla, Git",1,Basic HTML/CSS tasks; simple technical interview,Onsite,Flexible hours praised by employees. Poor management frustrates many.
DataSoft,Web Developer,"PHP, Laravel, MySQL, JavaScript, Bootstrap",2,Low salary growth; interviews test front-end coding,Onsite,Supportive team valued in reviews. Nepotism upsets employees.
DataSoft,Web Developer,"React, JavaScript, REST APIs, CSS, Node.js",2,Outdated tech used; occasional overtime required,Onsite,Learning opportunities noted by staff. High turnover disappoints.
DataSoft,Web Developer,"WordPress, PHP, HTML, CSS, jQuery",1,CMS-focused tasks; interviews include plugin development questions,Onsite,Team spirit appreciated by employees. Management issues hinder satisfaction.
DataSoft,Web Developer,"Angular, TypeScript, JavaScript, SCSS, API integration",0,Strict probation period; limited senior guidance,Onsite,Outdated processes upset staff.
DataSoft,Web Developer,"Vue.js, JavaScript, Firebase, CSS, Git",2,Tight deadlines on client projects; API-focused interviews,Onsite,Bureaucracy sparks discontent.
DataSoft,Web Developer,"Drupal, PHP, MySQL, JavaScript, HTML",1,High turnover affects morale; basic CMS coding tests in interviews,Onsite,Bullying raises concerns.
DataSoft,Web Developer,"JavaScript, Next.js, Tailwind CSS, MongoDB",3,Multitasking required; interviews test full-stack skills,Onsite,Stagnant growth discourages many.
DataSoft,Web Developer,"Magento, PHP, JavaScript, CSS, MySQL",2,E-commerce projects; limited remote work; client-driven changes,Onsite,Favoritism upsets staff.
DataSoft,Web Developer,"JavaScript, Gatsby, GraphQL, CSS, Jamstack",3,Interviews test modern frameworks; fast-paced environment,Onsite,Modern tech valued by reviewers.
DataSoft,Agile project manager,"Scrum, JIRA, Agile methodologies, stakeholder communication, MS Project",0,Basic Agile interviews; self-learning required; team coordination focus,Onsite,Friendly work environment Weekend 2 days Health Insurance Facility
DataSoft,Agile project manager,"Kanban, Trello, risk management, team facilitation, MS Excel",1,Low salary growth; interviews test sprint planning,Onsite,Recommended for fresher as there a lot of opportunity to learn
DataSoft,Agile project manager,"SAFe, Confluence, Agile coaching, conflict resolution, budgeting",2,Outdated tools used; occasional client escalations,Onsite,Health Insurance introduced PF available Supported by Investors
DataSoft,Agile project manager,"Sprint planning, Azure DevOps, stakeholder management, Agile metrics",1,Interviews focus on team dynamics; limited mentorship,Onsite,Interest free loans - Good increments - Gaming - Learning old technologies
DataSoft,Agile project manager,"Product backlog management, JIRA, Scrum ceremonies, client communication",0,Strict probation; requires cross-functional coordination,Onsite,Inexperienced and childish leads and line managers.
DataSoft,Agile project manager,"Agile transformation, Monday.com, risk mitigation, team leadership",2,Tight deadlines; interviews test Agile principles,Onsite,Useless rules such as working continuously for 9.5 to 10 hou
DataSoft,Agile project manager,"DevOps integration, GitLab, Agile reporting, change management",1,High turnover affects projects; scenario-based interviews,Onsite,No appreciation on work. Only bullying by Senior staffs.
DataSoft,Agile project manager,"Lean Agile, Asana, stakeholder engagement, velocity tracking",3,Multitasking required; interviews test Agile delivery,Onsite,Work load stress is a lot and only work work and work.
DataSoft,Agile project manager,"PI planning, JIRA Align, Agile metrics, team motivation",2,Client-driven changes; limited remote work options,Onsite,Colleagues are super friendly
DataSoft,Agile project manager,"Agile portfolio management, ClickUp, risk analysis, stakeholder alignment",3,Fast-paced; interviews test backlog prioritization,Onsite,Low firing rate
DataSoft,Software Engineer,"Python, Django, SQL, Git, REST APIs",0,Basic coding tests; self-learning emphasized,Onsite,"If you starting your career, you can learn basic things, also some professionalism"
DataSoft,Software Engineer,"C#, .NET, JavaScript, HTML, CSS",1,Low salary growth; interviews test algorithms and scenarios,Onsite,Opportunity and enough time to learn. Friendly office environment.
DataSoft,Software Engineer,"Java, Spring Boot, MySQL, Data Structures",2,Outdated tech stacks; occasional overtime required,Onsite,Good for entry level software engineers
DataSoft,Software Engineer,"PHP, Laravel, JavaScript, jQuery, DBMS",1,Interviews focus on DS/Algo; low initial pay,Onsite,Almost secured job
DataSoft,Software Engineer,"Node.js, Express, MongoDB, Agile, CI/CD",2,Strict probation; limited mentorship; team projects,Onsite,Team Leaders are good.
DataSoft,Software Engineer,"Go, Docker, Microservices, SQL, Kubernetes",0,Tight deadlines; interviews test system design,Onsite,Good for Educational internship. But be aware of permanent. You need to learn
DataSoft,Software Engineer,"C++, Algorithms, SQLite, Data Structures",2,High turnover affects morale; basic coding tests in interviews,Onsite,Multiple projects and several teams.
DataSoft,Software Engineer,"React, JavaScript, TypeScript, REST APIs, CSS",1,Multitasking required; interviews test full-stack skills,Onsite,Office time is flexible
DataSoft,Software Engineer,"Ruby on Rails, PostgreSQL, TDD, JavaScript",2,Client-driven changes; limited remote work options,Onsite,Co-workers are very friendly and helpful
DataSoft,Software Engineer,"AI/ML, Python, TensorFlow, SQL, API integration",3,Fast-paced; interviews test ML concepts and scalability,Onsite,"Friendly environment for employees .Great place for career start, great balance of life and work, opportunity to learn."
DataSoft,Iot engineer,"Embedded C, MQTT, Raspberry Pi, Python, IoT protocols",0,basic hardware coding tests; self-learning focus,Onsite,Pressure is not too much.
DataSoft,Iot engineer,"Arduino, Node.js, AWS IoT, JavaScript, sensor integration",1,interviews test IoT device integration,Onsite,Easy to avail all the paid leaves.
DataSoft,Iot engineer,"RTOS, C++, Azure IoT, data structures, MQTT",2,occasional client-facing tasks,Onsite,Job firing rate is low
DataSoft,Iot engineer,"IoT security, Python, Linux, REST APIs, edge computing",1,limited mentorship,Onsite,Team work is up to the mark.
DataSoft,Iot engineer,"Zigbee, ESP32",3,interviews test IoT scalability and security,Onsite, Company CEO is the most iconic and knowledgeable man in the industry.
DataSoft,Business development,"Market research, client pitching, CRM tools (e.g., Salesforce), negotiation, MS Excel",1,Client meetings; performance-based incentives; basic sales interviews,Onsite,The environment is really good. And all the people are amazing. They offer flexibility at work.
DataSoft,Lead solution Engineer,"System design, AWS, Java, microservices, stakeholder coordination",3,Client-facing; interviews test scalability; limited mentorship,Onsite,Have quality resources
DataSoft,Quality Assurance Engineer,"Manual testing, Selenium, JIRA, test case design, bug tracking",1,Regression testing focus; interviews test QA processes; high turnover,Onsite,Previous management was too good
DataSoft,Software architect,"System architecture, Spring Boot, Docker, UML, Agile",2,Design pattern focus; interviews test architecture; outdated tech stacks,Onsite,"One of the largest software company in Bangladesh established at 1998. It focuses on microfinance, banking, port and logistics, loT, ERP solutions etc."
Brain Station 23,Associate Software Engineer,"Java, OOP, Git, MySQL, REST API",0,,Onsite,Friendly community and place to learn
Brain Station 23,Associate Software Engineer,"Python, Data Structures, Flask, SQLite, GitHub",1,,Onsite,"Lunch, Good developers as mentor"
Brain Station 23,Associate Software Engineer,"C++, Problem Solving, Git, MySQL, Postman",0,,Onsite,"Bad management, increament is poor amount"
Brain Station 23,Associate Software Engineer,"JavaScript, HTML, CSS, React, Version Control",0,,Onsite,A great work environment with great peoples
Brain Station 23,Associate Software Engineer,"Java, Spring Boot, RESTful API, JIRA, SQL",1,,Onsite,There are some genuinely capable and inspiring leaders at Brain Station 23
Brain Station 23,Associate Software Engineer,"Python, Django, PostgreSQL, Git, Agile",0,,Onsite,Absence of proper leadership
Brain Station 23,Associate Software Engineer,"C#, .NET, LINQ, SQL Server, OOP",0,,Onsite,Lack of career growth
Brain Station 23,Associate Software Engineer,"Node.js, Express, MongoDB, JavaScript, Docker",1,,Onsite,very low opportunity to grow for senior level
Brain Station 23,Associate Software Engineer,"Data Structures, Algorithms, Java, Unit Testing, Git",0,,Onsite,Company can focus on more innovative tasks.
Brain Station 23,Associate Software Engineer,"Java, Microservices, Maven, Jenkins, SQL",0,,Onsite,Friendly colleagues and amazing work environment.
Brain Station 23,Associate Software Engineer,"Python, Data Structures, Flask, SQLite, GitHub",0,,Onsite,"on time salary, career growth, ceo has proper vision."
Brain Station 23,FullStack Developer,"JavaScript, React.js, Node.js, MongoDB, Git",2,,Onsite,Salary is lower compared to similar companies
Brain Station 23,FullStack Developer,"HTML, CSS, JavaScript, Express.js, MySQL",2,,Onsite,Sometimes need to work on multiple projects at the same time
Brain Station 23,FullStack Developer,"Python, Django, PostgreSQL, REST API, Bootstrap",3,,Onsite,No extra benefits for working overtime
Brain Station 23,FullStack Developer,"C#, SQL Server, JavaScript",2,,Onsite,Big Organization with solid growth plan Heaven for Junior & mid level dev
Brain Station 23,FullStack Developer,"Angular, TypeScript, Node.js, Firebase, GitHub",3,,Onsite,Work life balance is a myth
Brain Station 23,FullStack Developer,"PHP, Laravel, MySQL, jQuery, RESTful Services",2,,Onsite,A wonderful place where you can learn and develop your skill
Brain Station 23,FullStack Developer,"Next.js, Tailwind CSS, Prisma, PostgreSQL, Verce",2,,Onsite,Fast-paced projects can lead to work pressure.
Brain Station 23,FullStack Developer,"React, Redux, Node, GraphQL, JWT Authentication",3,,Onsite,Various technologies to work Good place to learn and grow Senior and team
Brain Station 23,FullStack Developer,"ASP.NET, C#, SQL Server, JavaScript, API Integration",2,,Onsite,Seniors are not values properly
Brain Station 23,FullStack Developer,"PHP, Laravel, MySQL, jQuery",3,,Onsite,Quality of work is decreasing because of lot of juniors
Brain Station 23,Android Developer,"Java, Android SDK, XML, SQLite, Git",2,,Onsite,Seniors don't have opportunity to apply advanced concepts
Brain Station 23,Android Developer,"Kotlin, Android Studio, Retrofit, REST API, Firebase",2,,Onsite,"Good Environment, Lunch facility, versatile tech area"
Brain Station 23,Android Developer,"Java, Kotlin, MVVM Architecture, LiveData",3,,Onsite,Payment on time.
Brain Station 23,Android Developer,"Kotlin, RxJava, Retrofit, Android Jetpack",2,,Onsite,Sometimes need to work extra with no additional pay.
Brain Station 23,Android Developer,"Java, Android NDK, JNI, SQLite, ProGuard",3,,Onsite,Good place to start your career.
Brain Station 23,Android Developer,"Flutter, Dart, Firebase, REST API, Bloc Pattern",2,,Onsite,Diverse Project Exposure Learning Environment Friendly Work Culture
Brain Station 23,Android Developer,"Kotlin, MVVM, Data Binding, Navigation Component",3,,Onsite,Lack of Clear Process in Some Teams
Brain Station 23,Android Developer,"Java, Android Studio, Firebase Analytics",2,,Onsite,Colleagues are collaborative and knowledgable
Brain Station 23,Android Developer,"Kotlin, Coroutine, Hilt, Jetpack Compose",1,,Onsite,Lack of Growth Opportunities
Brain Station 23,Android Developer,"Flutter, Dart, Firebase, REST API, Bloc Pattern",2,,Onsite,"High Expectations, Low Rewards"
Brain Station 23,DevOps Engineer,"Linux, Docker, Jenkins, Kubernetes, Git",3,,Onsite,Good for freshers
Brain Station 23,DevOps Engineer,"AWS, Terraform, Ansible, Docker, CloudFormation",2,,Onsite,"Flexible time, Very good and helpful Co-workers."
Brain Station 23,DevOps Engineer,"CI/CD, Jenkins, GitLab CI, Docker, Kubernetes",3,,Onsite,"High workload, tight deadlines, fast-paced environment."
Brain Station 23,DevOps Engineer,"Python, Bash Scripting, Docker, Kubernetes, Prometheus",2,,Onsite,"Hybrid culture, no micro management"
Brain Station 23,DevOps Engineer,"Azure, Docker, Terraform, Ansible, Monitoring Tools",3,,Onsite,Can work on multiple project which can boost your career
Brain Station 23,DevOps Engineer,"Kubernetes, Helm, Istio, Jenkins, Git",2,,Onsite,They do not care about senior resource.
Brain Station 23,DevOps Engineer,"Docker, Kubernetes, Nagios, Grafana, Prometheus",1,,Onsite,Good and friendly environment. One of the best IT companies in Bangladesh.
Brain Station 23,DevOps Engineer,"Linux, Python, Jenkins, Puppet, AWS",2,,Onsite,Salary is a bit low comparatively
Brain Station 23,DevOps Engineer,"Terraform, Ansible, AWS, Git, Docker",1,,Onsite,Innovation – Encourages creativity and new ideas.
Brain Station 23,DevOps Engineer,"GitLab CI/CD, Docker, Kubernetes, Helm, ELK Stack",2,,Onsite,High expectations and deadlines
Brain Station 23,QA Engineer,"Manual Testing, Test Case Design, Bug Tracking, JIRA, SQL",3,,Onsite,Good opportunities for freshers.
Brain Station 23,QA Engineer,"Selenium WebDriver, Java, TestNG, Maven, Jenkins",4,,Onsite,not much scope to grow
Brain Station 23,QA Engineer,"API Testing, Postman, REST Assured, SoapUI, JSON",3,,Onsite,Try to postpone the review process and avoid salary increases based on unjustified reasons
Brain Station 23,QA Engineer,"Automation Testing, Python, PyTest, Git, CI/CD",4,,Onsite,Transparent salary distribution process.
Brain Station 23,QA Engineer,"Performance Testing, JMeter, LoadRunner, Monitoring, Reporting",2,,Onsite,Opportunity to work with international clients across multiple technologies.
Brain Station 23,QA Engineer,"Mobile Testing, Appium, Android Studio, Test Scripts, Defect Life Cycle",2,,Onsite,Easy transition to project management or leadership roles if you are inclined towards management.
Brain Station 23,QA Engineer,"BDD, Cucumber, Gherkin, Selenium, Jenkins",3,,Onsite,Limited opportunities for practicing advanced technology over an extended period.
Brain Station 23,QA Engineer,"SQL, Database Validation, Manual Testing, Agile Methodology, Bugzilla",3,,Onsite,Previous experience may not be fully recognized or valued.
Brain Station 23,QA Engineer,"Security Testing, OWASP, Penetration Testing, Vulnerability Assessment",2,,Onsite,Salary structure is less competitive compared to similar companies.
Brain Station 23,QA Engineer,"Continuous Integration, Jenkins, Selenium Grid, Docker, Test Automation",3,,Onsite,Salary is little bit lower.
BJIT,Software engineer,"Python, Django, SQL, Git, OOP",0,,Onsite,Timely salary disbursement
BJIT,Software engineer,"Java, Spring Boot, MySQL, Data Structures, REST APIs",1,,Onsite,Shuttle service from head office to main road
BJIT,Software engineer,"JavaScript, React, Node.js, MongoDB, Agile",2,,Onsite,Timely salary distribution though salary is too low
BJIT,Software engineer,"C#, .NET, SQL Server, HTML, CSS",1,,Onsite,Regular yearly evaluations
BJIT,Software engineer,"TypeScript, Angular, REST APIs, Git, Scrum",2,,Onsite,Japanse and International client handling
BJIT,Software engineer,"C++, Algorithms, SQLite, Data Structures, Linux",1,,Onsite,You can work in different stacks in production level in a very short period of time
BJIT,Software engineer,"PHP, Laravel, MySQL, JavaScript, jQuery",3,,Onsite,Healthy work environment Salary on time
BJIT,Software engineer,"Go, Docker, Kubernetes, SQL, Microservices",2,,Onsite,Teaches how to work under stress and tight deadlines.
BJIT,Software engineer,"Ruby on Rails, PostgreSQL, TDD, JavaScript",3,,Onsite,Unpaid Overtime Culture – Forced to work overtime daily without pay (For some specific teams).
BJIT,Software engineer,"AI/ML, Python, TensorFlow, SQL, API integration",2,,Onsite,Exposure to skilled IT professionals with strong technical expertise
BJIT,It intern,"Basic Python, HTML, CSS, Git, problem-solving",0,,Onsite,Good environment with good manners.
BJIT,Mechanical Design Engineer,"AutoCAD, SolidWorks, GD&T, basic Python, 3D modeling",0,,Onsite,Office Politics 
BJIT,Mechanical Design Engineer,"CATIA, FEA, mechanical drafting, MS Excel, prototyping",1,,Onsite,Toxic culture 
BJIT,Mechanical Design Engineer,"SolidWorks, DFM, material selection, IoT hardware design, Git",2,,Onsite,No Standard structure for wages.
BJIT,Mechanical Design Engineer,"Creo, thermal analysis, 3D printing, mechanical systems, Agile",1,,Onsite,"Yearly increment , weekly holidays"
BJIT,Mechanical Design Engineer,"NX, CFD, product design, prototyping, basic C++",3,,Onsite,Timely pay
BJIT,Software architect,"Java, Spring Boot, UML, REST APIs, Git",0,,Onsite,Salary given in time every time.
BJIT,Software architect,"Python, Django, microservices, API design, Agile",1,,Onsite,Overtime bill is also very low
BJIT,Software architect,"Node.js, Express, MongoDB, system design, Docker",2,,Onsite,Micro management 
BJIT,Software architect,"C#, .NET, Azure, architecture modeling, CI/CD",1,,Onsite,They only talk about company policy but don't take opinions from employee
BJIT,Software architect,"Blockchain, Java, Hyperledger, API integration, UML",0,,Onsite,Though they said that Lunch subsidized but 90% amount is charged for the lunch from the employee
BJIT,Software architect,"Go, Kubernetes, cloud architecture, SQL, DevOps",2,,Onsite,Average salary
BJIT,Software architect,"TypeScript, Angular, AWS, microservices, TOGAF",1,,Onsite,Work life balance is not suitable.
BJIT,Software architect,"Ruby on Rails, PostgreSQL, SOA, API design, Agile",3,,Onsite, Don't have flexibility
BJIT,Software architect,"AI/ML, Python, TensorFlow, system integration, UML",2,,Onsite,Career growth
BJIT,Software architect,"JavaScript, GraphQL, MongoDB, cloud-native design, CI/CD",2,,Onsite,Job security 
BJIT,Software QA Engineer,"Manual testing, Selenium, JIRA, test case design, bug tracking",0,,Onsite,Overtime work is paid by cheap dinner
BJIT,Software QA Engineer,"Automation testing, Cucumber, Postman, API testing, SQL",1,,Onsite,Bad people management almost like working in local garments company
BJIT,Software QA Engineer,"Appium, mobile testing, JIRA, Agile, test automation",2,,Onsite,Biased evaluation
BJIT,Software QA Engineer,"Katalon, Cypress, regression testing, bug reporting, Git",2,,Onsite,Job security only nothing more
BJIT,Salesforce trainee,"Salesforce CRM, Apex, Visualforce, SOQL, basic HTML",1,,Onsite,Good for career building. Very friendly environment
BJIT,Manager sales,"Client pitching, CRM (Salesforce), negotiation, market analysis, MS Excel",2,,Onsite,BJIT follows strict process which is very helpful for future career. 
BJIT,Manager sales,"B2B sales, lead generation, team management, PowerPoint, analytics",2,,Onsite,"Better for learners, fresh engineers"
BJIT,Manager sales,"Sales forecasting, HubSpot, client retention, MS Excel, communication",3,,Onsite,Good growth opportunity.
BJIT,Junior software engineer,"Python, Django, SQL, Git, basic OOP",0,,Onsite,Excellent initial training for new grads.
BJIT,Junior software engineer,"Java, Spring Boot, MySQL, Data Structures, REST APIs",0,,Onsite,They groom the new grads in a way so that they can suceed in their career.
BJIT,Junior software engineer,"JavaScript, React, Node.js, MongoDB, Agile",0,,Onsite,The training is usually 3/4 months and then followed by an On Job Training OJT.
BJIT,Junior software engineer,"C#, .NET, SQL Server, HTML, CSS",0,,Onsite,"Only after successful completion of training, the new engineer's start working in full time software projects."
BJIT,Junior software engineer,"PHP, Laravel, MySQL, JavaScript, jQuery",0,,Onsite,Pay scale might be better compared to the competitors.
